storage,manufacturer,name,lot_number,manufactured_on,expired_on
"Gatorade Lab, Main Inventory",Tate & Lyle,Sucralose ,XM2M035301,12/18/2012,12/18/2014
"Pilot Plant, Non-Hazardous",Pepsico,Orange Flavor 3F,LYK-010414-3F,1/22/2014,1/22/2015
"Pilot Plant, Non-Hazardous",Pepsico,Orange Flavor 1F,2YK-010414-1F,1/22/2014,1/22/2015
"Pilot Plant, Non-Hazardous",Pepsico,Orange Flavor,LYKDCO-F,1/30/2014,1/30/2015
"Pilot Plant, Non-Hazardous",Pepsico,Orange Flavor 2F,LYK-010414-2F,1/22/2014,1/22/2015
"Pilot Plant, Non-Hazardous",The Concentrate Manufacturing Company of Ireland,Gatorade Orange Color Component,13-8900-0010,8/14/2013,11/14/2014
"Pilot Plant, Hazardous",Pepsico,N&A Peanut Butter Chocolate Flavor,790232,7/15/2013,7/15/2014
"Pilot Plant, Non-Hazardous",The Concentrate Manufacturing Company of Ireland,Gatorade Starch Cloud,13-8902-0016,7/23/2013,10/21/2014
"Pilot Plant, Non-Hazardous",The Concentrate Manufacturing Company of Ireland,Gatorade Orange Flavour,13-89020012,6/26/2013,6/23/2014
"Pilot Plant, Non-Hazardous",The Concentrate Manufacturing Company of Ireland,Gatorade Berry Flavor,13-8902-0010,8/21/2013,5/19/2014
"Pilot Plant, Non-Hazardous",Givaudan,Nat Mango Lemon Flavor WONF,NULL,6/28/2013,6/28/2014
"Pilot Plant, Non-Hazardous",Givaudan,Nat Yuzu Kiwi Type Flavor,NULL,6/28/2013,6/28/2014
"Pilot Plant, Non-Hazardous",Givaudan,Nat Cucumber Melon Flavor WONF,NULL,10/1/2013,10/1/2014
"Pilot Plant, Non-Hazardous",Pepsico,Color Component 35009-70-53A,13-8924-0003,3/13/2013,6/1/2014
"Pilot Plant, Non-Hazardous",Pepsico,Color Component 35009-70-53A,13-8924-0003,3/13/2013,6/1/2014
"Pilot Plant, Non-Hazardous",The Concentrate Manufacturing Company of Ireland,Gatorade Starch Cloud,NULL,5/29/2013,11/24/2014
"Pilot Plant, Non-Hazardous",The Concentrate Manufacturing Company of Ireland,Gatorade Starch Cloud Component,12-8902-0028,12/10/2012,6/13/2014
"Pilot Plant, Non-Hazardous",The Concentrate Manufacturing Company of Ireland,Gatorade Starch Cloud,13-8902-0025,11/18/2013,5/17/2015
"Pilot Plant, Non-Hazardous",Pepsico R&D Little Island,Lemonade,NULL,11/2/2013,5/4/2014
"Pilot Plant, Non-Hazardous",The Concentrate Manufacturing Company of Ireland,Gatorade G2 Raspberry Lemon Flavor,13-8902-0008,9/23/2013,9/22/2014
"Pilot Plant, Non-Hazardous",The Concentrate Manufacturing Company of Ireland,Gatorade Starch Cloud Component,12-8902-0028,12/10/2012,5/8/2014
"Pilot Plant, Non-Hazardous",Pepsico R&D Little Island,Lemonade,NULL,11/2/2013,5/4/2014
"Pilot Plant, Non-Hazardous",The Concentrate Manufacturing Company of Ireland,Gatorade Starch Cloud Component,13-8902-0004,2/14/2013,5/8/2014
"Pilot Plant, Non-Hazardous",DairyChem,Antifoam FG10,0006497464,4/27/2011,7/11/2014
"Pilot Plant, Non-Hazardous",The Concentrate Manufacturing Company of Ireland,Propel Lemon Flavor ,13-8900-0002,4/5/2013,10/5/2014
"Pilot Plant, Non-Hazardous",The Concentrate Manufacturing Company of Ireland,Gatorade G2 Dark Green Color,13-8902-0005,6/10/2013,12/10/2014
"Pilot Plant, Non-Hazardous",The Concentrate Manufacturing Company of Ireland,Mandarin Flavor,13-8900-0003,4/2/2013,4/14/2014
"Pilot Plant, Hazardous",Kerry, Orange Key ,179z8DC0,3/21/2014,9/21/2015
"Gatorade Lab, Non-Hazardous",PepsiCo,Peach Mango Flavor,,3/21/2014,9/21/2015
"Gatorade Lab, Non-Hazardous",PepsiCo,Peach Flavor 95814*04,,3/21/2014,9/21/2015
"Gatorade Lab, Hazardous",PepsiCo,Orange Passion 93719*04,,3/21/2014,9/21/2015
