storage,manufacturer,name,lot_number,manufactured_on,expired_on
"Gatorade Lab, Non-Hazardous",Kerry,Nat Citrus Fl WONF,54131901,8/5/2013,8/5/2014
"Gatorade Lab, Non-Hazardous",Kerry,Nat Orange Fl WONF,1000788894,8/5/2013,8/5/2014
"Gatorade Lab, Non-Hazardous",Kerry,Nat Citrus Fl WONF,54131901,8/5/2013,8/5/2014
"Gatorade Lab, Non-Hazardous",Givaudan,Cinnamon Roll Type Flavor,42100154952,2/19/2014,2/19/2015
"Gatorade Lab, Non-Hazardous",Givaudan,Chocolate Flavor WONF,42100155700,3/10/2014,3/10/2015
"Gatorade Lab, Non-Hazardous",Kerry,17208PEP,S-656238 (ID),3/11/14,01/01/1900
"Gatorade Lab, Non-Hazardous",Kerry,N&A Dark Chocolate FL,TS-33432,3/6/2014,3/6/2015
"Gatorade Lab, Non-Hazardous",Givaudan ,Chocolate Chip Cookie Type Flavor,42100155749,3/10/2014,3/10/2015
"Gatorade Lab, Non-Hazardous",Givaudan,N&A Chocolate Fl.,42100155738,3/10/2014,3/10/2015
"Gatorade Lab, Hazardous",Symrise,Sweet Enhancer Nat Fl Symlife(R) Sweet,SL13-0406-7,6/4/2013,6/4/2014
"Gatorade Lab, Hazardous",Symrise,Nat Fl Pomegranate Type,SL13-2405-1,6/14/2013,6/14/2014
"Gatorade Lab, Hazardous",Symrise,Natural Lemon-Lime Ginger Flavor WONF,SL13-2905-4,5/30/2013,5/30/2014
"Gatorade Lab, Hazardous",Symrise,"Tropical Punch Nat Fl, Papaya Type",SL13-2405-6,6/14/2013,6/14/2014
"Gatorade Lab, Hazardous",Symrise,Natural Lemon-Lime Flavor,SL13-0705-5,5/22/2013,5/22/2014
